molecule_chembl_id,IC50,units,smiles,pIC50,molecular_weight,n_hba,n_hbd,logp,lipinski
CHEMBL3775764,21.49,nM,Cc1c(C(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)cc2)nnn1-c1ccc(F)c(F)c1,7.667763584508557,446.13028019200004,6,2,4.774820000000002,True
CHEMBL3775756,21.63,nM,Cc1c(C(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)c(F)c2)nnn1-c1ccc(F)c(F)c1,7.6649434805609085,464.1208583800001,6,2,4.913920000000002,True
CHEMBL2103868,21.9,nM,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC.O=C(O)C[C@H](O)C(=O)O,7.6595558851598815,635.1915223800002,9,5,4.447400000000002,True
CHEMBL3678509,22.0,nM,[C-]#[N+]C1=C(C)Nc2oncc2C1c1ccc2[nH]nc(C)c2c1,7.657577319177793,291.112010036,4,2,3.5675100000000013,True
CHEMBL1098518,22.0,nM,Nc1cc(Oc2ccc(Nc3ncncc3C(=O)Nc3ccc(F)cc3F)cc2F)ccn1,7.657577319177793,452.1208583800001,7,3,4.659300000000003,True
CHEMBL2032273,22.0,nM,Nc1ncc(-c2cnn(C3CCNCC3)c2)cc1-c1nc2cc(O)ccc2o1.O=C(O)C(F)(F)F,7.657577319177793,490.1576378119999,9,4,3.5989000000000013,True
CHEMBL4542687,22.0,nM,CC(=O)Nc1nc2ccc(Sc3nnc4ccc(-c5ccc(F)cc5)nn34)cc2s1,7.657577319177793,436.05762925600004,8,1,4.649700000000002,True
CHEMBL3414921,22.0,nM,COc1cnc2ccc([C@H](C)c3nnc4c(F)cc(-c5cc(C)ns5)cn34)cc2c1,7.657577319177793,419.12160941600007,7,0,5.008920000000003,True
CHEMBL2071457,22.0,nM,C[C@H](NC(=O)c1cc(-c2cnn(C3CCOCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,7.657577319177793,477.113458524,6,2,4.815700000000004,True
CHEMBL556837,22.0,nM,O=S(=O)(c1cccc2nonc12)n1ccc2ncccc21,7.657577319177793,300.031711116,7,0,1.8094999999999999,True
CHEMBL1822586,22.0,nM,O=C(Cc1ccc(O)cc1)N/N=C1\C(=O)Nc2c(Cl)cccc21,7.657577319177793,329.056718924,4,3,2.0606999999999998,True
CHEMBL1822591,22.0,nM,CC(C(=O)N/N=C1\C(=O)Nc2ccc(Cl)c(Cl)c21)c1ccc(O)cc1,7.657577319177793,377.03339663599996,4,3,3.275100000000001,True
CHEMBL1822593,22.0,nM,Cc1cccc2c1/C(=N/NC(=O)Cc1ccc(O)cc1)C(=O)N2,7.657577319177793,309.11134134,4,3,1.7157199999999997,True
CHEMBL3774740,22.33,nM,Cc1c(C(=O)Nc2ccc(Oc3ccnc4[nH]ccc34)cc2)nnn1-c1ccc(F)c(Cl)c1,7.651111276928562,462.10072965200004,6,2,5.289120000000002,True
CHEMBL4778544,22.74,nM,COc1cc2nccc(Oc3ccc(NC(=O)C(C)OC(=O)c4ccccc4)cc3F)c2cc1OC,7.643209539648284,490.154014676,7,1,5.367400000000004,True
CHEMBL3414734,23.0,nM,Fc1cc(-c2ccccc2)cn2c(C(F)(F)c3ccc4ncccc4c3)nnc12,7.638272163982407,390.10923107600007,4,0,5.223700000000004,True
